epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.5265,1.81152,26.1827,0.00649,0.00612,0.15617,0.00457,0.0028,1.39952,17.5903,0.00634,5.79961e-05,5.79961e-05,5.79961e-05
2,115.294,1.47152,9.826,0.00513,0.37674,0.11853,0.10106,0.05925,1.41937,8.2087,0.00648,0.000115562,0.000115562,0.000115562
3,164.795,1.49921,5.27176,0.00519,0.40948,0.41738,0.36072,0.21165,1.4403,4.38524,0.00662,0.000172357,0.000172357,0.000172357
4,212.785,1.50428,3.40048,0.00524,0.45463,0.52728,0.46302,0.27289,1.43477,3.0776,0.00647,0.000171535,0.000171535,0.000171535
5,262.323,1.49887,2.56933,0.00522,0.49808,0.66425,0.583,0.34635,1.44022,2.31172,0.00655,0.00017038,0.00017038,0.00017038
6,311.333,1.48754,2.08168,0.00514,0.53153,0.71666,0.6229,0.36697,1.44274,1.88535,0.00654,0.000169225,0.000169225,0.000169225
7,361.127,1.45915,1.85206,0.00507,0.54793,0.74411,0.65552,0.39873,1.39439,1.70335,0.00637,0.00016807,0.00016807,0.00016807
8,411.148,1.45966,1.70956,0.00514,0.56578,0.73706,0.67282,0.41468,1.37506,1.5464,0.00624,0.000166915,0.000166915,0.000166915
9,458.326,1.46024,1.52675,0.00515,0.57247,0.77236,0.6985,0.42688,1.38768,1.40598,0.00629,0.00016576,0.00016576,0.00016576
10,506.59,1.43834,1.43758,0.00502,0.58511,0.78471,0.69864,0.43049,1.38373,1.32643,0.00628,0.000164605,0.000164605,0.000164605
11,554.282,1.42684,1.37624,0.00492,0.58595,0.77978,0.71017,0.44157,1.36066,1.2784,0.00613,0.00016345,0.00016345,0.00016345
12,602.518,1.43814,1.31424,0.00506,0.59104,0.79538,0.72163,0.4518,1.3553,1.20764,0.00612,0.000162295,0.000162295,0.000162295
13,651.026,1.40387,1.26585,0.00483,0.59692,0.80046,0.7283,0.45675,1.35049,1.1364,0.00609,0.00016114,0.00016114,0.00016114
14,698.624,1.40274,1.22206,0.00483,0.58068,0.82852,0.73343,0.45465,1.35298,1.14351,0.0061,0.000159985,0.000159985,0.000159985
