epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.151,1.2696,5.12609,0.00348,0,0,0,0,0.75796,5.43629,0.00254,2.73e-05,2.73e-05,2.73e-05
2,65.2299,1.05514,5.00346,0.00304,0,0,0,0,0.76602,5.2645,0.00305,5.85644e-05,5.85644e-05,5.85644e-05
3,91.7697,0.90248,4.92517,0.0028,0,0,0,0,0.70106,5.09963,0.00269,8.91982e-05,8.91982e-05,8.91982e-05
4,118.253,0.97413,4.7508,0.00249,0,0,0,0,0.68257,5.04989,0.00263,0.000119201,0.000119201,0.000119201
5,144.561,0.93244,4.56073,0.00239,0.02083,0.0049,0.00344,0.00321,0.65315,5.00592,0.00246,0.000148574,0.000148574,0.000148574
6,173.504,0.80534,4.40305,0.00229,0.00631,0.04902,0.01545,0.01499,0.60404,4.95249,0.002,0.000177316,0.000177316,0.000177316
7,202.715,0.90824,4.15243,0.00227,0.00271,0.05882,0.02023,0.01955,0.60864,4.84717,0.00216,0.000205427,0.000205427,0.000205427
8,231.902,0.826,3.88521,0.00222,0.00436,0.05914,0.02376,0.02312,0.57707,4.73494,0.00204,0.000232908,0.000232908,0.000232908
9,260.589,0.80668,3.69474,0.00243,0.02083,0.09969,0.05153,0.04715,0.62821,4.47288,0.00236,0.000259758,0.000259758,0.000259758
10,289.482,0.79501,3.48955,0.00228,0.03197,0.15049,0.0685,0.06002,0.65047,4.25137,0.003,0.000285977,0.000285977,0.000285977
11,317.813,0.81962,3.26297,0.00222,0.04388,0.21589,0.106,0.09444,0.63817,3.98553,0.00284,0.000311566,0.000311566,0.000311566
12,345.95,0.79084,2.98459,0.00249,0.02607,0.27385,0.14865,0.13479,0.59471,3.57683,0.00217,0.000336524,0.000336524,0.000336524
13,375.26,0.78786,2.79514,0.00228,0.92969,0.08011,0.15552,0.14087,0.59029,3.42128,0.00226,0.000360851,0.000360851,0.000360851
14,410.984,0.80998,2.72586,0.00218,0.90271,0.09403,0.16199,0.1471,0.6125,3.08408,0.00232,0.000384548,0.000384548,0.000384548
15,447.611,0.83362,2.59115,0.00214,0.87605,0.14035,0.16718,0.15232,0.59645,2.78577,0.00221,0.000391937,0.000391937,0.000391937
16,481.415,0.85823,2.59556,0.00228,0.88249,0.16254,0.17734,0.16229,0.58253,2.58776,0.00218,0.000387433,0.000387433,0.000387433
17,514.674,0.77507,2.52699,0.00223,0.87289,0.17668,0.18246,0.16663,0.58939,2.5212,0.00216,0.000382928,0.000382928,0.000382928
18,547.469,0.75943,2.43747,0.00211,0.87246,0.19582,0.19335,0.17639,0.55908,2.38354,0.00203,0.000378423,0.000378423,0.000378423
19,581.179,0.69681,2.27005,0.00206,0.88428,0.20409,0.20267,0.18432,0.56821,2.2639,0.00214,0.000373919,0.000373919,0.000373919
20,614.295,0.73768,2.2458,0.00203,0.89737,0.20966,0.21507,0.19671,0.55928,2.18062,0.00203,0.000369415,0.000369415,0.000369415
21,646.572,0.73809,2.1152,0.00189,0.90719,0.20487,0.22095,0.20106,0.56389,2.15508,0.00207,0.00036491,0.00036491,0.00036491
22,676.103,0.72446,2.12829,0.00195,0.91429,0.20771,0.23116,0.21081,0.5333,2.10598,0.00194,0.000360406,0.000360406,0.000360406
23,706.451,0.7222,2.09069,0.0019,0.91046,0.2094,0.23866,0.21617,0.56102,2.06915,0.00209,0.000355901,0.000355901,0.000355901
24,735.639,0.74069,1.99555,0.00197,0.8506,0.21151,0.24241,0.22148,0.51234,2.02901,0.00187,0.000351396,0.000351396,0.000351396
25,764.78,0.68244,2.0296,0.00181,0.85081,0.21674,0.24397,0.22268,0.51425,2.00769,0.00183,0.000346892,0.000346892,0.000346892
26,794.168,0.67108,2.05248,0.00196,0.86443,0.21002,0.24648,0.22534,0.50459,1.9798,0.0018,0.000342387,0.000342387,0.000342387
27,822.544,0.69777,1.92159,0.00176,0.73973,0.22793,0.25055,0.22988,0.49526,1.94615,0.00175,0.000337883,0.000337883,0.000337883
28,851.138,0.72159,1.95808,0.00192,0.74668,0.23984,0.25736,0.2344,0.49827,1.90994,0.00173,0.000333379,0.000333379,0.000333379
