epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.888,0.47204,4.68693,0.00817,0.52788,0.71947,0.64008,0.62735,0.26047,2.51492,0.0065,0.00023654,0.00023654,0.00023654
2,191.993,0.54824,1.28559,0.00945,0.88335,0.9014,0.96252,0.93274,0.28748,0.70085,0.00743,0.000472191,0.000472191,0.000472191
3,246.075,0.57781,0.92375,0.00986,0.89139,0.85986,0.95453,0.91468,0.32384,0.54375,0.00841,0.000705486,0.000705486,0.000705486
4,298.689,0.58565,0.76147,0.00988,0.94939,0.92378,0.97183,0.91673,0.37839,0.39285,0.01004,0.000703397,0.000703397,0.000703397
5,351.284,0.56608,0.67597,0.00992,0.91585,0.93309,0.97715,0.95405,0.26774,0.34995,0.00737,0.000699863,0.000699863,0.000699863
6,403.019,0.5178,0.57321,0.009,0.95635,0.95055,0.984,0.96025,0.29691,0.2744,0.00749,0.000696328,0.000696328,0.000696328
7,453.208,0.48806,0.54607,0.00839,0.91896,0.94573,0.97699,0.95491,0.25804,0.31696,0.00653,0.000692794,0.000692794,0.000692794
8,502.675,0.50226,0.54182,0.00896,0.97841,0.95809,0.98833,0.97828,0.22356,0.21352,0.00573,0.00068926,0.00068926,0.00068926
9,552.538,0.50378,0.51752,0.00892,0.95259,0.95576,0.98385,0.96784,0.23749,0.2422,0.00617,0.000685726,0.000685726,0.000685726
10,602.496,0.50278,0.49275,0.00857,0.94789,0.9474,0.98569,0.97663,0.21841,0.26793,0.00537,0.000682191,0.000682191,0.000682191
11,652.249,0.48716,0.4967,0.00852,0.95412,0.96418,0.98501,0.97494,0.22932,0.22208,0.00579,0.000678657,0.000678657,0.000678657
12,701.752,0.4743,0.45197,0.00818,0.96572,0.982,0.99095,0.98146,0.2107,0.18509,0.00529,0.000675123,0.000675123,0.000675123
13,754.61,0.46402,0.4498,0.00805,0.96872,0.95748,0.98423,0.97869,0.20531,0.218,0.0051,0.000671588,0.000671588,0.000671588
14,807.518,0.45431,0.41314,0.0079,0.98554,0.95533,0.98553,0.97874,0.201,0.16625,0.00502,0.000668054,0.000668054,0.000668054
