epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.4601,0.50526,5.14575,0.00899,0.26862,0.5489,0.32899,0.32696,0.22164,4.00472,0.00533,0.000234338,0.000234338,0.000234338
2,60.3021,0.53048,2.08925,0.00909,0.62799,0.73088,0.72079,0.70085,0.29748,1.61251,0.00746,0.000469221,0.000469221,0.000469221
3,85.1114,0.5747,1.33469,0.00991,0.71247,0.7274,0.82095,0.76552,0.40052,1.18346,0.01095,0.000700962,0.000700962,0.000700962
4,109.956,0.60898,1.06047,0.01062,0.77184,0.77604,0.87929,0.81706,0.40665,1.0298,0.0106,0.000699863,0.000699863,0.000699863
5,133.832,0.57487,0.93061,0.01001,0.85032,0.81032,0.91399,0.87206,0.32272,0.66683,0.00814,0.00069515,0.00069515,0.00069515
6,157.646,0.57884,0.7959,0.0102,0.80729,0.85429,0.94931,0.9046,0.31974,0.58417,0.00855,0.000690438,0.000690438,0.000690438
7,181.604,0.56535,0.75155,0.00983,0.87946,0.88011,0.96834,0.9277,0.31859,0.4224,0.00847,0.000685726,0.000685726,0.000685726
8,205.388,0.57355,0.73834,0.01023,0.90562,0.91484,0.95705,0.89789,0.37427,0.44344,0.01002,0.000681013,0.000681013,0.000681013
9,228.725,0.58324,0.71023,0.01042,0.97173,0.94817,0.98796,0.93862,0.35374,0.28243,0.00906,0.000676301,0.000676301,0.000676301
10,252.716,0.56075,0.64596,0.00992,0.85374,0.89535,0.94609,0.92159,0.27375,0.49798,0.00708,0.000671588,0.000671588,0.000671588
11,276.264,0.53908,0.63197,0.0095,0.95249,0.95393,0.9878,0.96083,0.2573,0.23217,0.00663,0.000666876,0.000666876,0.000666876
12,300.354,0.50969,0.60843,0.00918,0.95018,0.97548,0.99128,0.96565,0.28231,0.21867,0.0072,0.000662164,0.000662164,0.000662164
13,324.804,0.50384,0.52494,0.00894,0.93837,0.91153,0.9676,0.94852,0.25694,0.29281,0.00647,0.000657451,0.000657451,0.000657451
14,349.053,0.50234,0.54761,0.00866,0.95344,0.96712,0.99048,0.97605,0.22655,0.21755,0.00561,0.000652739,0.000652739,0.000652739
15,372.215,0.51719,0.51508,0.00895,0.96205,0.91644,0.98858,0.96931,0.23778,0.22432,0.00598,0.000648026,0.000648026,0.000648026
16,396.556,0.50814,0.50188,0.00898,0.96075,0.95882,0.98759,0.97099,0.23704,0.19899,0.00598,0.000643314,0.000643314,0.000643314
17,419.433,0.49348,0.48901,0.00862,0.97753,0.96925,0.9923,0.97529,0.2272,0.15963,0.00585,0.000638602,0.000638602,0.000638602
18,442.147,0.49453,0.47302,0.00872,0.9465,0.97104,0.98952,0.97343,0.23615,0.18588,0.0061,0.000633889,0.000633889,0.000633889
19,465.161,0.49772,0.47779,0.00898,0.97314,0.95392,0.99019,0.97369,0.23602,0.17606,0.00624,0.000629177,0.000629177,0.000629177
20,488.021,0.48942,0.44737,0.00861,0.97271,0.9895,0.99323,0.97987,0.22119,0.13743,0.00557,0.000624464,0.000624464,0.000624464
21,510.981,0.47831,0.43171,0.00854,0.97357,0.95616,0.99066,0.96862,0.24201,0.16725,0.0065,0.000619752,0.000619752,0.000619752
22,533.875,0.48679,0.45975,0.00867,0.9512,0.94376,0.979,0.96326,0.24908,0.2199,0.00624,0.00061504,0.00061504,0.00061504
23,556.798,0.49971,0.4742,0.00871,0.95957,0.98104,0.99039,0.97557,0.2117,0.1524,0.00544,0.000610327,0.000610327,0.000610327
24,579.66,0.48074,0.47247,0.00853,0.95688,0.95776,0.98892,0.97539,0.22227,0.17689,0.00556,0.000605615,0.000605615,0.000605615
25,602.667,0.46215,0.41329,0.00814,0.96022,0.97325,0.99165,0.97849,0.19895,0.15095,0.00506,0.000600902,0.000600902,0.000600902
26,625.698,0.46843,0.45147,0.00839,0.98208,0.97796,0.99357,0.98409,0.19104,0.1269,0.00495,0.00059619,0.00059619,0.00059619
27,648.774,0.45381,0.40727,0.00789,0.97263,0.98024,0.99345,0.98531,0.20341,0.13525,0.00503,0.000591478,0.000591478,0.000591478
28,671.705,0.43145,0.38112,0.00765,0.9688,0.95202,0.99226,0.98048,0.21314,0.16956,0.00548,0.000586765,0.000586765,0.000586765
29,694.422,0.46264,0.38749,0.00819,0.98317,0.96906,0.99288,0.98212,0.19903,0.13169,0.00514,0.000582053,0.000582053,0.000582053
30,717.355,0.46388,0.37673,0.00826,0.97768,0.98878,0.99423,0.98623,0.18835,0.11482,0.00477,0.00057734,0.00057734,0.00057734
31,741.734,0.44995,0.37774,0.00796,0.98598,0.98432,0.99426,0.9827,0.21319,0.12723,0.00546,0.000572628,0.000572628,0.000572628
32,765.478,0.45168,0.33589,0.00804,0.96702,0.98339,0.99289,0.98482,0.1966,0.12166,0.00492,0.000567916,0.000567916,0.000567916
33,788.983,0.44974,0.37386,0.00789,0.98221,0.98349,0.99429,0.98191,0.2029,0.11651,0.00509,0.000563203,0.000563203,0.000563203
34,812.535,0.42644,0.35175,0.00743,0.99109,0.97926,0.99411,0.98363,0.19253,0.1192,0.00491,0.000558491,0.000558491,0.000558491
35,836.135,0.41238,0.35501,0.00714,0.98571,0.98009,0.99359,0.98419,0.19372,0.11414,0.00495,0.000553778,0.000553778,0.000553778
36,859.679,0.41871,0.35412,0.00741,0.97017,0.97276,0.99129,0.98355,0.18612,0.13813,0.00469,0.000549066,0.000549066,0.000549066
37,883.189,0.41108,0.35605,0.00696,0.98804,0.98369,0.99423,0.98431,0.1954,0.10604,0.00499,0.000544354,0.000544354,0.000544354
38,906.886,0.43397,0.36187,0.00756,0.98932,0.98299,0.99389,0.98505,0.19065,0.10824,0.00493,0.000539641,0.000539641,0.000539641
39,930.417,0.42925,0.35982,0.00741,0.96974,0.97485,0.99247,0.9818,0.19804,0.1249,0.00537,0.000534929,0.000534929,0.000534929
40,953.951,0.4181,0.33366,0.00719,0.98721,0.96708,0.99285,0.98695,0.17004,0.11659,0.00423,0.000530216,0.000530216,0.000530216
41,977.964,0.39473,0.31313,0.00707,0.99193,0.98081,0.99425,0.98851,0.16772,0.09544,0.00424,0.000525504,0.000525504,0.000525504
42,1001.8,0.40355,0.31054,0.00712,0.98691,0.98823,0.99451,0.992,0.16389,0.09958,0.00407,0.000520792,0.000520792,0.000520792
43,1025.41,0.39575,0.3039,0.00672,0.98264,0.98145,0.99397,0.98467,0.17722,0.10653,0.00462,0.000516079,0.000516079,0.000516079
44,1048.56,0.38632,0.28733,0.00675,0.9876,0.98761,0.99471,0.98971,0.15877,0.08817,0.00392,0.000511367,0.000511367,0.000511367
45,1071.38,0.41558,0.32841,0.0072,0.99463,0.98438,0.99467,0.9874,0.16407,0.08896,0.00406,0.000506654,0.000506654,0.000506654
46,1094.88,0.37851,0.32286,0.00656,0.98082,0.97843,0.99404,0.99073,0.16969,0.09684,0.00425,0.000501942,0.000501942,0.000501942
47,1117.74,0.43066,0.33366,0.00771,0.98319,0.98819,0.99383,0.98696,0.19082,0.10353,0.00487,0.00049723,0.00049723,0.00049723
48,1140.55,0.39471,0.29488,0.00688,0.99287,0.98885,0.99437,0.99202,0.1391,0.08055,0.00345,0.000492517,0.000492517,0.000492517
49,1163.76,0.3958,0.33632,0.00703,0.9855,0.97748,0.9941,0.99076,0.16119,0.10357,0.00406,0.000487805,0.000487805,0.000487805
50,1186.68,0.38519,0.31429,0.00676,0.98873,0.99472,0.99427,0.99122,0.14481,0.08021,0.00363,0.000483092,0.000483092,0.000483092
51,1209.68,0.36951,0.30014,0.00648,0.99276,0.9861,0.99437,0.99266,0.15329,0.08756,0.00385,0.00047838,0.00047838,0.00047838
